site_category_lv1,overall_rating,review_title,review_text
TV e Home Theater,5,Muito bom e resistente.,"Suporte muito bom. Veio com varias opções de fixação e aguenta TV’s grandes. Valeu super a pena. Fácil instalação, seguindo vídeo explicativo."
Livros,5,ótimo,"livro muito bom, explica  como interagir com os bebês numa fase fundamental da vida, principalmente quando os bebês ficam longe dos pais, quando estes estão no trabalho.."
Celulares e Smartphones,3,Bom,"O aparelho é bom, mas os produtos que o acompanham são fracos , Por exemplo Fone e Carregador. OBS: a câmera não é das melhores, mas se comparado ao preço do produto vale a pena."
Decoração,1,Baixo,Não veio como o combinado. Veio outra imagem. Não recomendo.
Celulares e Smartphones,5,Excelente aparelho!,"Tive um LG K10 anteriormente e gostava muito do aparelho, porém fui roubado na parada LGBT de BH e acabei tendo que me contentar com um Motorola C Plus, que era horrível. Depois consegui juntar dinheiro e aproveitei para comprar o Q6. A tela é muito nítida, as bordas arredondadas dão um aspecto lindo ao aparelho e tudo funciona sem travamentos. Porém fui roubado de novo. Aí agora comprei um Q6 Plus com uma promoção da VIVO e estou apaixonado novamente. A LG é a única marca que me atende hoje em dia. O design da Motorola deixa a desejar e trava muito, acho os aparelhos pesados e gordos. A Samsung tem um material frágil e de aspecto barato. Zenphone está até legalzinho, mas ainda não confio em chineses. O Q6+ está me agradando muito. O preço condiz com o produto. Recomendo!"
Livros,5,Criatividade,Minha sobrinha adorou e em dois dias já estava no meio do livro!!!
Automotivo,1,o preço,"o preço está correto?? R$ 10.000,00 ou 10x de R$ 1.000,00."
Beleza e Perfumaria,3,BOm,"O produto é bom, recomendo, bom de tamanho, não toma muito espaço."
Celulares e Smartphones,5,Celular excelente!,"O celular chegou muito rápido, tem ótimo desempenho e custo-benefício."
Decoração,5,excelente,"Bonito, robusto, facil de limpar, extremamente decorativo."
Brinquedos,4,Gostei muito do produto!,"Gostei do produto. Comprei pra dar de presente para minha sobrinha. Fiquei feliz, a entrega foi feita antes do previsto. O produto é resistente. Atendeu as minhas expectativas."
Papelaria,4,Cadernos de primeira qualidade,"Há uma pequena diferença na qualidade no material do caderno produzido aqui e o importado (que é encontrado com certa facilidade até). Mas isso não torna o produto ruim, pois é muito superior a quase todos e com um ótimo preço."
Celulares e Smartphones,5,Produto excelente!,"Amei o produto, super  recomendo! Chegou muito rápido."
Informática e Acessórios,1,Pior roteador que já tive,"Simplesmente péssimo.  Muito instável. É anunciado com várias funcionalidades, mas para que ele fique utilizável, você tem que desabilitar tudo.  A porta USB dele é simplesmente uma lástima. Compartilhamento muito instável também.  Já está na última versão de firmware.  Por essa faixa de preço, prefira uma marca mais conceituada, como a Linksys ou a D-Link.  Fujam de TP-Link."
Eletroportáteis,4,Gostei!,Chegou super rápido. Já usei algumas vezes e funciona muito bem!
Celulares e Smartphones,5,ÓTIMO PRODUTO.,EXCELENTE COMPRA E A ENTREGA FOI ULTRA RÁPIDA. PARABÉNS AMERICANAS.
Câmeras e Filmadoras,4,Funciona,Bom dia! Minha experiência a princípio foi frustante pois o cartão veio corrompido. Porém o pronto atendimento da empresa ao trocar o produto valeu muito a pena!
Eletroportáteis,5,Satisfação,Excelente qualidade útil bonito potente seguro e prático
Celulares e Smartphones,3,Bom produto,"Braçadeira tamanho grande, cabe qualquer celular. Produto parece ser de boa qualidade, sem contar que tem um baixo valor."
Utilidades Domésticas,4,gostei muito do produto,"Muito prático, leve, não escorrega , gostei bastante, fácil manuseio, pode levar pra qualquer cômodo da casa sem carregar o balde pois ele tem rodinhas, no inverno é melhor ainda pois vc não tem contato com a água e o pano, sua mão não estraga, suas unhas não quebram, muito bom mesmo."
Eletrodomésticos,5,otimo produto,"hoje ta fazendo 20 dias de uso, tô gostando muito !!!!!!!!! recomento este produto"
Móveis,1,Não recebi mercadoria ainda ...,Não recebi produto ainda quase um mês esperando não recomendo.
Decoração,1,A cor é totalmente diferente,"Estou decepcionada! Precisava do lustre com urgencia, e chegou uma cor literalmente diferente a foto! Ele é mais pra um rosê e não é transparente com na foto! Arrasada!"
Beleza e Perfumaria,5,Perfume maravilhoso,"Amei o perfume! É marcante, fixação muito boa e dura muito na pele. Produto original!"
